                       Headset Description                        ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
Product Name: Oculus Rift CV1,,,,,,,,,,,,,,
Serial Number: WMHD30311019KC,,,,,,,,,,,,,,
Headset Refresh Rate: 89.997 frames per second,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
                           Sensor Data                            ,,,,,,,,,,,,,,
==================================================================,,,,,,,,,,,,,,
"Angular Accel. (x,y,z)",,,"Linear Accel. (x,y,z)",,,"Angular Velocity (Gyro) (x,y,z)",,,"Linear Velocity (x,y,z)",,,Yaw,Pitch,Roll
x,y,z,x,y,z,x,y,z,x,y,z,Y,P,R
2.6814,-0.10021,4.764,-0.0108979,0.239201,0.259174,-1.53781,-0.0811093,0.171922,-0.00995893,-0.0725475,-0.0882388,-0.693733,19.3801,-0.111168
-8.58313,-6.13219,2.99535,0.0799845,-0.616827,-0.456234,-2.41706,-0.188344,-0.162373,0.0140891,-0.160626,-0.0629981,-3.06794,-1.8643,1.94196
8.5948,4.66947,7.68449,0.117029,0.547004,0.451946,-0.679612,-0.173649,-0.697377,0.00876694,-0.190637,-0.0396128,-3.59147,-21.8534,-2.17697
3.4912,-3.40235,-1.66297,-0.65793,1.01426,0.329206,-0.0865562,0.0754513,0.364246,0.0150057,-0.0196549,-0.0209267,-1.82894,-28.272,-3.28314
11.8288,-3.38735,4.47396,-0.223487,1.02463,0.089442,0.691933,-0.185171,0.0433243,-0.00922255,0.128942,0.00283796,-2.2244,-24.4581,-1.96959
-8.27633,6.18863,-1.9892,-0.00181233,-0.378231,0.103617,1.72201,0.182427,0.0538669,-0.0233799,0.127581,0.0145362,-2.48846,-6.08697,-0.541832
0.226,-0.102688,5.3052,-0.326822,-0.209726,-0.16966,0.956311,0.0606522,0.125225,-0.00406562,0.0663718,0.0452944,-1.35855,9.67155,-0.545208
-5.24245,-3.19597,3.56455,0.0174056,-0.0404325,-0.0405821,-0.612016,0.0505479,0.0348339,0.00435884,-0.0134426,-0.0254374,0.313562,11.5119,-0.405449
4.28352,-1.3929,11.488,-0.408612,0.328308,0.0881537,-0.020771,0.173228,2.15226,-0.0531997,0.0557187,-0.0148757,0.704208,7.29234,10.1773
0.734699,-3.01323,-3.94728,-0.0154005,-0.0543144,0.141881,-0.192265,0.291095,2.5343,-0.0730126,0.016218,-0.0296593,4.28096,5.06756,39.115
5.72525,-4.5795,-3.90295,-0.546556,0.535948,0.964485,-0.190445,0.320685,1.16391,-0.0446742,-0.00678801,0.0165748,6.76791,1.2447,58.0268
2.12437,-2.78458,-0.0401173,0.248958,0.420867,-0.319844,0.0255031,0.010201,-0.00180094,0.00185192,0.0210932,0.0041875,8.72825,1.01126,64.4638
3.02904,-8.14943,-23.5266,0.296554,-0.139474,-0.0400517,0.27941,-0.501108,-2.22354,0.0707344,0.0901656,-0.00791769,8.5167,3.37377,52.9311
